"","ref","line"
"1",0,0
"2",29,1198
"3",91,3608
"4",123,4874
"5",209,8366
"6",224,9127
"7",309,12876
"8",581,23839
"9",672,28037
"10",672,28056
"11",876,35997
"12",888,36488
"13",997,40783
"14",997,40787
"15",999,40839
"16",999,40849
"17",999,40870
"18",1015,41553
"19",1060,43267
"20",1060,43277
"21",1130,45967
"22",1130,45975
"23",1130,45983
"24",1168,47400
"25",1174,47597
"26",1174,47599
"27",1277,51497
"28",1277,51512
"29",1277,51518
"30",1277,51532
"31",1299,52444
"32",1299,52457
"33",1299,52458
"34",1349,54821
"35",1349,54831
"36",1465,59640
"37",1465,59658
"38",1517,61857
"39",1517,61872
"40",1578,64477
"41",1818,74020
"42",1818,74041
"43",1818,74050
"44",1854,75448
"45",1917,78873
"46",1921,79018
"47",1921,79038
"48",1921,79043
"49",1921,79044
"50",1973,81097
"51",1986,81588
"52",1986,81604
"53",2017,82837
"54",2017,82848
"55",2017,82849
"56",2017,82858
"57",2017,82860
"58",2047,84110
"59",2047,84128
"60",2047,84129
"61",2047,84140
"62",2066,84854
"63",2066,84868
"64",2066,84879
"65",2098,86149
"66",2098,86159
"67",2107,86500
"68",2187,89707
"69",2219,91002
"70",2219,91017
"71",2219,91019
"72",2219,91023
"73",2219,91028
"74",2261,92698
"75",2261,92707
"76",2261,92709
"77",2261,92710
"78",2305,95168
"79",2311,95566
"80",2311,95580
"81",2311,95601
"82",2365,97895
"83",2411,99732
"84",2411,99733
