,database,number,year,code,data,software,ancestors,LuAdes2006,LuAdes04,Caldwell05,DiasSutton13,Lumley02,DSU,Salanti11,Salanti08,SpiegAbrams04,ISPOR,Sutton08,Reitsma05,SmithSpieg95,AdesScul06,WarnThomp02,Gelman06,BDA,Other,problem,success,model,priors,freq_and_bayes,justified,year,citation
1,medline,1,2015, no despite online appendix, no despite online appendix, WinBUGS 1.4," Dias S, Sutton AJ, Ades AE, Welton NJ. Evidence synthesis for decision making 2: a generalized linear modeling framework for pairwise and network meta-analysis of randomized controlled trials. Med Decis Making 2013; 33: 607â€“17",,,,1,,,,,,,,,,,,,,, nma, yes, nma," ""informative"" prior for tau, not specified but citing Turner et al Int J Epidem (2012); 41: 818-27.", yes, nma,2015,1. Lancet. 2015 Jul 18;386(9990):258-65. 
2,medline,2,2015, no despite online appendix, no despite online appendix, JAGS using rjags and gemtc R packages, Dias et al Med Decis Making 2013;33:671-8.,,,,1,,,,,,,,,,,,,,, nma, yes," nma, G-R convergence"," ""non-informative""", yes, nma,2015,2. Lancet. 2015 Jun 13;385(9985):2371-82. 
3,medline,3,2015, no despite online appendix, yes, WinBUGS, Lumley Stat Med 2002; Greco et al SMMR 2013,,,,,1,,,,,,,,,,,,,1, nma, yes, nma, not clear from appendix, no,,2015,3. Ann Hematol. 2015 Jun;94(6):1003-9. 
4,medline,4,2015, no despite online appendix, no despite online appendix, WinBUGS, Greco SMMR 2013,,,,,,,,,,,,,,,,,,1, nma, yes, nma," confusing: inverse-gamma for tau (no parameters given) to be ""more informative"" (appendix), then replaved with ""a different vague prior"" (???; main paper under 'statistical analysis') which was a ""univariate distribution"" (???).", no,,2015,4. Br J Anaesth. 2015 May;114(5):746-56. 
5,medline,5,2015, no, no, WinBUGS, NICE DSU 2011; Lu & Ades 2004,1,,,,,1,,,,,,,,,,,,, nma, yes, nma," ""noninformative""", not entirely clear but probably yes, nma,2015,5. J Am Geriatr Soc. 2015 May;63(5):1002-9. 
6,medline,6,2015, no, no, WinBUGS, Whitehead et al 2001. Stat Med;20:2243-60,,,,,,,,,,,,,,,,,,1, ordinal outcome, yes, proportional odds (ordinal logistic)," ""noninformative""", yes," some binary outcomes in Stata, ordinal in WinBUGS",2015,6. Medicine (Baltimore). 2015 May;94(18):e828. 
7,medline,7,2015, no, not enough to reproduce, OpenBUGS and R, none directly relevant to Bayesian model,,,,,,,,,,,,,,,,,,, diagnostic MA, yes," ""binormal bayesian ROC model"""," partly explained, N(a,b) (??), N(0,1), gamma(rate=1,shape=7)", no,,2015,7. AJR Am J Roentgenol. 2015 Apr;204(4):W439-48. 
8,medline,8,2015, yes, no, WinBUGS, lots: Caldwell 2005; NICE DSU; Spiegelhalter Abrams Myles 2004; Salanti 2011 + some stuff on inconsistency testing,,,,,,1,1,,1,,,,,,,,,1, nma, yes," ""multiple-treatments meta-analysis"""," diffuse: precisions, coefficients, study-specific baselines N(0,1e-4); tau (SD) U(0,5). NICE DSU code", no,,2015,8. Ann Surg. 2015 Apr;261(4):662-9. 
9,medline,9,2015, yes (algebra), no, AgenaRisk," Fenton N, Neil M. Risk Assessment and Decision Analysis withBayesian Networks. CRC Press: London, 2012",,,,,,,,,,,,,,,,,,1, MA of prognostic factors, yes," ""Bayesian networks"" (in abstract,""Bayesian meta-analysis"")"," log-OR N(0,1000); tau U(0,2). tau is fairly informative, log-OR very diffuse", no,,2015,9. Br J Surg. 2015 Apr;102(5):436-50. 
10,medline,10,2015, no, yes, WinBUGS, none,,,,,,,,,,,,,,,,,,," ""to account for [heterogeneity]"" (?)", yes," ""Bayesian hierarchical meta-analysis"""," log-OR N(0,1e5 ""or larger""); tau SD U(0,5) (NICE DSU-ish)", no,,2015,10. Can J Cardiol. 2015 Mar;31(3):260-9. 
