"","ref","line"
"1",0,0
"2",6,225
"3",6,245
"4",6,246
"5",9,384
"6",40,1900
"7",108,4906
"8",163,7383
"9",310,14153
"10",318,14527
"11",373,17087
"12",384,17547
"13",563,24600
"14",563,24620
"15",650,28725
"16",681,29987
"17",681,30000
"18",681,30013
"19",681,30014
"20",681,30015
"21",724,31773
"22",724,31782
"23",756,33049
"24",787,34314
"25",869,37703
"26",869,37728
"27",869,37736
"28",869,37739
"29",869,37740
"30",869,37747
"31",869,37748
"32",879,38295
"33",1068,46044
"34",1068,46053
"35",1073,46305
"36",1224,52507
"37",1224,52527
"38",1269,54411
"39",1276,54685
"40",1276,54701
"41",1276,54707
"42",1276,54708
"43",1276,54710
"44",1276,54712
"45",1354,57808
"46",1467,62585
"47",1467,62597
"48",1467,62607
"49",1467,62614
"50",1467,62615
"51",1514,64490
"52",1540,65442
"53",1540,65449
"54",1542,65529
"55",1601,67878
"56",1603,67961
"57",1652,70047
"58",1720,72775
"59",1730,73163
"60",1730,73178
"61",1956,81935
"62",1956,81946
"63",1956,81947
"64",1978,82925
"65",1978,82937
"66",2008,84219
"67",2008,84236
"68",2115,88887
"69",2152,90377
"70",2217,93001
"71",2217,93010
"72",2277,95449
"73",2277,95461
"74",2282,95653
"75",2316,97063
"76",2343,98098
