"","pubyear","citations"
"1",2005,"(includes abstract) Caulfield T; Debow S; BMC Complementary & Alternative Medicine, 2005; 5: 12. (journal article - research, systematic review) "
"2",2005,"(includes abstract) Costa J; Espírito-Santo CC; Borges AA; Moore P; Ferreira J; Coelho MM; Sampaio C; Cochrane Database of Systematic Reviews, 2005: N.PAG. (journal article - research, systematic review) "
"3",2005,"(includes abstract) Alderson P; Roberts I; Cochrane Database of Systematic Reviews, 2005: N.PAG. (journal article - research, systematic review) "
"4",2005,"(includes abstract) Read JS; Newell M; Cochrane Database of Systematic Reviews, 2005: N.PAG. (journal article - research, systematic review) "
"5",2005,"(includes abstract) Posner EB; Mohamed KK; Marson AG; Cochrane Database of Systematic Reviews, 2005: N.PAG. (journal article - research, systematic review) "
"6",2005,"(includes abstract) Shah PS; Ng E; Sinha AK; Cochrane Database of Systematic Reviews, 2005: N.PAG. (journal article - research, systematic review) "
"7",2005,"(includes abstract) Halfhide C; Evans HJ; Couriel J; Cochrane Database of Systematic Reviews, 2005: N.PAG. (journal article - research, systematic review) "
"8",2005,"(includes abstract) Lueck CJ; McIlwaine GG; Cochrane Database of Systematic Reviews, 2005: N.PAG. (journal article - research, systematic review) "
"9",2005,"(includes abstract) Helmerhorst FM; Van Vliet HA; Gornas T; Finken MJ; Grimes DA; Cochrane Database of Systematic Reviews, 2005: N.PAG. (journal article - research, systematic review) "
"10",2005,"(includes abstract) Richeldi L; Ferrara G; Fabbri L; Lasserson TJ; Gibson PG; Cochrane Database of Systematic Reviews, 2005: N.PAG. (journal article - research, systematic review) "
"11",2005,"(includes abstract); Cochrane Database of Systematic Reviews, 2005: N.PAG. (journal article - research, systematic review) "
"12",2005,"(includes abstract); Cochrane Database of Systematic Reviews, 2005: N.PAG. (journal article - research, systematic review) "
"13",2005,"(includes abstract) Patel N; Lester JF; Coles B; Macbeth F; Cochrane Database of Systematic Reviews, 2005: N.PAG. (journal article - research, systematic review) "
