"","pubyear","citations"
"1",2015,"1. Lancet. 2015 Jul 18;386(9990):258-65. "
"2",2015,"2. Lancet. 2015 Jun 13;385(9985):2371-82. "
"3",2015,"3. Ann Hematol. 2015 Jun;94(6):1003-9. "
"4",2015,"4. Br J Anaesth. 2015 May;114(5):746-56. "
"5",2015,"5. J Am Geriatr Soc. 2015 May;63(5):1002-9. "
"6",2015,"6. Medicine (Baltimore). 2015 May;94(18):e828. "
"7",2015,"7. AJR Am J Roentgenol. 2015 Apr;204(4):W439-48. "
"8",2015,"8. Ann Surg. 2015 Apr;261(4):662-9. "
"9",2015,"9. Br J Surg. 2015 Apr;102(5):436-50. "
"10",2015,"10. Can J Cardiol. 2015 Mar;31(3):260-9. "
"11",2015,"11. Medicine (Baltimore). 2015 Mar;94(11):e595. "
"12",2015,"12. Medicine (Baltimore). 2015 Mar;94(10):e510. "
"13",2015,"13. Lancet. 2015 Feb 28;385(9970):792-8. "
"14",2015,"14. Cochrane Database Syst Rev. 2015 Feb 6;2:CD009944. "
"15",2015,"15. BMJ. 2015 Feb 5;350:h217. "
"16",2015,"16. Cancer Treat Rev. 2015 Feb;41(2):77-93. "
"17",2015,"17. Gastroenterology. 2015 Feb;148(2):344-54.e5; quiz e14-5. "
"18",2015,"18. Osteoarthritis Cartilage. 2015 Feb;23(2):189-202. "
"19",2015,"19. Ann Intern Med. 2015 Jan 6;162(1):46-54. "
"20",2015,"20. Cad Saude Publica. 2015 Jan;31(1):26-38"
"21",2015,"21. Gastroenterology. 2015 Jan;148(1):64-76.e2; quiz e14. "
"22",2015,"22. Lancet Infect Dis. 2015 Jan;15(1):74-84. "
"23",2015,"23. Value Health. 2015 Jan;18(1):116-26. "
"24",2014,"24. Hum Mol Genet. 2014 Dec 20;23(25):6944-60. "
"25",2014,"25. Am J Transplant. 2014 Dec;14(12):2765-76. "
"26",2014,"26. Mayo Clin Proc. 2014 Dec;89(12):1621-35. "
"27",2014,"27. Neuropsychol Rev. 2014 Dec;24(4):428-44. "
"28",2014,"28. BMJ Open. 2014 Nov 20;4(11):e006112. "
"29",2014,"29. Ann Intern Med. 2014 Nov 18;161(10):724-32. "
"30",2014,"30. Syst Rev. 2014 Nov 5;3:133. "
"31",2014,"31. Epidemiology. 2014 Nov;25(6):835-42. "
"32",2014,"32. Ophthalmology. 2014 Nov;121(11):2081-90. "
"33",2014,"33. Syst Rev. 2014 Oct 30;3:130. "
"34",2014,"34. Angiogenesis. 2014 Oct;17(4):909-20. "
"35",2014,"35. Int J Parasitol. 2014 Oct 1;44(11):765-74. "
"36",2014,"36. J Clin Periodontol. 2014 Oct;41(10):1015-25. "
"37",2014,"37. J Crit Care. 2014 Oct;29(5):706-10. "
"38",2014,"38. Med Decis Making. 2014 Oct;34(7):899-910. "
"39",2014,"39. J Natl Cancer Inst. 2014 Sep 15;106(9). pii: dju203. "
"40",2014,"40. JAMA. 2014 Sep 3;312(9):923-33. "
"41",2014,"41. Am J Clin Nutr. 2014 Sep;100(3):746-55. "
"42",2014,"42. Diabetologia. 2014 Sep;57(9):1789-97. "
"43",2014,"43. J Clin Endocrinol Metab. 2014 Sep;99(9):3070-9. "
"44",2014,"44. CNS Drugs. 2014 Aug;28(8):699-712. "
"45",2014,"45. Curr Med Res Opin. 2014 Aug;30(8):1473-87. "
"46",2014,"46. Lung Cancer. 2014 Aug;85(2):230-8. "
"47",2014,"47. Osteoarthritis Cartilage. 2014 Aug;22(8):1090-9. "
"48",2014,"48. Health Qual Life Outcomes. 2014 Jul 3;12:102. "
"49",2014,"49. J Crohns Colitis. 2014 Jul;8(7):571-81. "
"50",2014,"50. Joint Bone Spine. 2014 Jul;81(4):337-41. "
"51",2014,"51. BMC Cancer. 2014 Jun 27;14:471. "
"52",2014,"52. BMJ. 2014 Jun 23;348:g3859. "
"53",2014,"53. Aliment Pharmacol Ther. 2014 Jun;39(12):1349-62. "
"54",2014,"54. Chest. 2014 Jun;145(6):1286-97"
"55",2014,"55. Curr Med Res Opin. 2014 Jun;30(6):971-95. "
"56",2014,"56. J Hum Nutr Diet. 2014 Jun;27(3):280-97. "
"57",2014,"57. Oncologist. 2014 Jun;19(6):592-601. "
"58",2014,"58. BMJ. 2014 May 13;348:g3009. "
"59",2014,"59. Diabetes Obes Metab. 2014 May;16(5):433-42. "
"60",2014,"60. Eur Heart J. 2014 May;35(17):1147-58. "
"61",2014,"61. Eur J Health Econ. 2014 May;15 Suppl 1:S45-52. "
"62",2014,"62. PLoS Genet. 2014 May 15;10(5):e1004383. "
"63",2014,"63. J Am Heart Assoc. 2014 Apr 14;3(2):e000759. "
"64",2014,"64. Aliment Pharmacol Ther. 2014 Apr;39(7):660-71. "
"65",2014,"65. Cephalalgia. 2014 Apr;34(4):258-67. "
"66",2014,"66. J Neurol. 2014 Apr;261(4):655-62. "
"67",2014,"67. J Vasc Surg. 2014 Apr;59(4):1123-1133.e8. "
"68",2014,"68. Osteoporos Int. 2014 Apr;25(4):1225-35. "
"69",2014,"69. BMJ. 2014 Mar 31;348:g2197. "
"70",2014,"70. Hum Mol Genet. 2014 Mar 15;23(6):1527-37. "
"71",2014,"71. Int J Cardiol. 2014 Mar 15;172(2):375-80. "
"72",2014,"72. BMC Musculoskelet Disord. 2014 Mar 11;15:76. "
"73",2014,"73. Curr Med Res Opin. 2014 Mar;30(3):367-80. "
"74",2014,"74. Gan To Kagaku Ryoho. 2014 Mar;41(3):347-52"
"75",2014,"75. Heart. 2014 Mar;100(5):396-405. "
"76",2014,"76. J Clin Endocrinol Metab. 2014 Mar;99(3):923-31. "
"77",2014,"77. J Clin Endocrinol Metab. 2014 Mar;99(3):757-67. "
"78",2014,"78. Syst Rev. 2014 Feb 12;3:11. "
"79",2014,"79. EuroIntervention. 2014 Feb;9(10):1225-34. "
"80",2014,"80. Pain Pract. 2014 Feb;14(2):167-84. "
"81",2014,"81. BMC Musculoskelet Disord. 2014 Jan 20;15:26. "
"82",2014,"82. Acta Med Iran. 2014;52(4):256-64"
"83",2014,"83. Breast Cancer Res Treat. 2014 Jan;143(1):125-33. "
"84",2014,"84. Drug Saf. 2014 Jan;37(1):19-31. "
"85",2014,"85. Hum Vaccin Immunother. 2014;10(5):1421-4. "
"86",2014,"86. Int J Chron Obstruct Pulmon Dis. 2014 May 12;9:469-79. "
"87",2014,"87. Int J Surg. 2014;12(5):516-22. "
"88",2014,"88. J Gen Intern Med. 2014 Jan;29(1):204-13. "
"89",2014,"89. PLoS One. 2014 Oct 6;9(10):e108749. "
"90",2014,"90. PLoS One. 2014 Sep 30;9(9):e108940. "
"91",2014,"91. PLoS One. 2014 Sep 4;9(9):e105653. "
"92",2014,"92. PLoS One. 2014 Jun 3;9(6):e96829. "
"93",2014,"93. PLoS One. 2014 Feb 13;9(2):e88440. "
"94",2014,"94. PLoS One. 2014 Feb 12;9(2):e85245. "
"95",2014,"95. PLoS One. 2014 Jan 23;9(1):e86136. "
"96",2013,"96. Stat Med. 2013 Dec 30;32(30):5398-413. "
"97",2013,"97. Aliment Pharmacol Ther. 2013 Dec;38(11-12):1325-37. "
"98",2013,"98. Br J Anaesth. 2013 Dec;111(6):886-96. "
"99",2013,"99. JAMA Neurol. 2013 Dec;70(12):1486-90. "
"100",2013,"100. Langenbecks Arch Surg. 2013 Dec;398(8):1039-56. "
"101",2013,"101. BMC Med. 2013 Nov 8;11:239. "
"102",2013,"102. BMJ. 2013 Nov 6;347:f6530. "
"103",2013,"103. Intensive Care Med. 2013 Nov;39(11):1896-908. "
"104",2013,"104. J Am Coll Surg. 2013 Nov;217(5):788-801.e1-4. "
"105",2013,"105. Nutr Metab Cardiovasc Dis. 2013 Nov;23(11):1043-9. "
"106",2013,"106. BMJ. 2013 Oct 24;347:f6008. "
"107",2013,"107. Int J Cardiol. 2013 Oct 12;168(5):4931-4. "
"108",2013,"108. Respir Res. 2013 Oct 7;14:100. "
"109",2013,"109. Cochrane Database Syst Rev. 2013 Oct 1;9:CD009259. "
"110",2013,"110. Int J Hematol. 2013 Oct;98(4):390-7. "
"111",2013,"111. Stat Med. 2013 Sep 30;32(22):3926-43. "
"112",2013,"112. BMJ. 2013 Sep 20;347:f5555. "
"113",2013,"113. Lancet. 2013 Sep 14;382(9896):951-62. "
"114",2013,"114. Br J Surg. 2013 Sep;100(10):1271-9. "
"115",2013,"115. Curr Drug Saf. 2013 Sep;8(4):236-45"
"116",2013,"116. J Gen Intern Med. 2013 Sep;28(9):1225-37. "
"117",2013,"117. J Inherit Metab Dis. 2013 Sep;36(5):757-66. "
"118",2013,"118. Lancet Oncol. 2013 Sep;14(10):943-52. "
"119",2013,"119. Thyroid. 2013 Sep;23(9):1138-50. "
"120",2013,"120. Am J Epidemiol. 2013 Aug 1;178(3):484-92. "
"121",2013,"121. Br J Dermatol. 2013 Aug;169(2):250-9. "
"122",2013,"122. Curr Med Res Opin. 2013 Aug;29(8):1001-13. "
"123",2013,"123. Eur J Prev Cardiol. 2013 Aug;20(4):658-70. "
"124",2013,"124. Diabetologia. 2013 Jul;56(7):1489-93. "
"125",2013,"125. Eur J Med Res. 2013 Jun 21;18:17. "
"126",2013,"126. Int J Cardiol. 2013 Jun 20;166(2):431-9. "
"127",2013,"127. Cochrane Database Syst Rev. 2013 Jun 6;6:CD008933. "
"128",2013,"128. Circulation. 2013 Jun 4;127(22):2177-85. "
