"","pubyear","citations"
"1",2015,"1. Gene. 2015 Aug 1;567(1):36-44. "
"2",2015,"2. Lancet. 2015 Jul 18;386(9990):258-65. "
"3",2015,"3. Int J Cancer. 2015 Jul 15;137(2):409-19. "
"4",2015,"4. Gene. 2015 Jul 10;565(2):171-9. "
"5",2015,"5. Anesth Prog. 2015 Summer;62(2):57-63. "
"6",2015,"6. Eur J Endocrinol. 2015 Jul;173(1):101-9. "
"7",2015,"7. Gene. 2015 Jul 1;565(1):1-8. "
"8",2015,"8. Gene. 2015 Jul 1;565(1):90-5. "
"9",2015,"9. Gene. 2015 Jul 1;565(1):39-44. "
"10",2015,"10. J Cancer Res Clin Oncol. 2015 Jul;141(7):1141-9. "
"11",2015,"11. Surgery. 2015 Jul;158(1):66-77. "
"12",2015,"12. JAMA. 2015 Jun 23-30;313(24):2456-73. "
"13",2015,"13. Am J Cardiol. 2015 Jun 15;115(12):1720-5. "
"14",2015,"14. Int J Cancer. 2015 Jun 15;136(12):2912-22. "
"15",2015,"15. Int J Cancer. 2015 Jun 15;136(12):2880-9. "
"16",2015,"16. J Infect Dis. 2015 Jun 15;211(12):1925-35. "
"17",2015,"17. J Surg Res. 2015 Jun 15;196(2):294-301. "
"18",2015,"18. Lancet. 2015 Jun 13;385(9985):2371-82. "
"19",2015,"19. Gene. 2015 Jun 10;564(1):1-8. "
"20",2015,"20. Lancet. 2015 Jun 6;385(9984):2264-71. "
"21",2015,"21. BMJ. 2015 Jun 3;350:h2538. "
"22",2015,"22. Acta Radiol. 2015 Jun;56(6):681-7. "
"23",2015,"23. AJR Am J Roentgenol. 2015 Jun;204(6):1261-8. "
"24",2015,"24. Aliment Pharmacol Ther. 2015 Jun;41(12):1227-36. "
"25",2015,"25. Aliment Pharmacol Ther. 2015 Jun;41(12):1237-45. "
"26",2015,"26. Aliment Pharmacol Ther. 2015 Jun;41(12):1246-55. "
"27",2015,"27. Am Heart J. 2015 Jun;169(6):924-937.e3. "
"28",2015,"28. Am J Cardiol. 2015 Jun 1;115(11):1529-38. "
"29",2015,"29. Am J Cardiol. 2015 Jun 1;115(11):1523-8. "
"30",2015,"30. Am J Cardiol. 2015 Jun 1;115(11):1481-6. "
"31",2015,"31. Am J Clin Nutr. 2015 Jun;101(6):1286-94. "
"32",2015,"32. Am J Clin Oncol. 2015 Jun;38(3):322-5. "
