,cinahl_no,medline_no,cinahl_title,medline_title,cinahl_author,medline_author,not_dup
1,1,31771,Meta-analysis of trials comparing postoperative recovery after anesthesia with sevoflurane or desflurane.,Meta-analysis of trials comparing postoperative recovery after anesthesia with sevoflurane or desflurane.,"Macario A; Dexter F; Lubarsky D; American Journal of Health-System Pharmacy, 2005 Jan 1; 62 (1): 63-8. (journal article - research, systematic review, tables/charts) ISSN: 1079-2082 PMID: 15658074 CINAHL AN: 200908981","Macario A(1), Dexter F, Lubarsky D.",
2,2,31776,"Does off-pump coronary artery bypass reduce mortality, morbidity, and resource utilization when compared with conventional coronary artery bypass? A meta-analysis of randomized trials.","Does off-pump coronary artery bypass reduce mortality, morbidity, and resource utilization when compared with conventional coronary artery bypass? A meta-analysis of randomized trials.","Cheng DC; Bainbridge D; Martin JE; Novick RJ; Warltier DC; Anesthesiology, 2005 Jan; 102 (1): 188-203, 249-50. (journal article - CEU, research, systematic review, tables/charts) ISSN: 0003-3022 PMID: 15618803 CINAHL AN: 200908780","Cheng DC(1), Bainbridge D, Martin JE, Novick RJ; Evidence-Based Perioperative Clinical Outcomes Research Group.",
3,3,31782,A meta-analysis on intravenous magnesium sulphate for treating acute asthma.,A meta-analysis on intravenous magnesium sulphate for treating acute asthma.,"Cheuk DKL; Chau TCH; Lee SL; Archives of Disease in Childhood, 2005 Jan; 90 (1): 74-7. (journal article - research, systematic review, tables/charts) ISSN: 0003-9888 PMID: 15613519 CINAHL AN: 200507036","Cheuk DK(1), Chau TC, Lee SL.",
4,5,31494,Acupuncture for shoulder pain.,Acupuncture for shoulder pain.,"Green S; Buchbinder R; Hetrick SE; Cochrane Database of Systematic Reviews, 2005: N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 15846753 CINAHL AN: 200982450","Green S(1), Buchbinder R, Hetrick S.",
5,6,31517,Air versus oxygen for resuscitation of infants at birth.,Air versus oxygen for resuscitation of infants at birth.,"Tan A; Schulze AA; O'Donnell CP; Davis PG; Cochrane Database of Systematic Reviews, 2005: N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 15846632 CINAHL AN: 200982223","Tan A, Schulze A, O'Donnell CP, Davis PG.",
6,7,31507,Alpha-glucosidase inhibitors for type 2 diabetes mellitus.,Alpha-glucosidase inhibitors for type 2 diabetes mellitus.,"Van de Laar FA; Lucassen PL; Akkermans RP; Van de Lisdonk EH; Rutten GE; Van Weel C; Cochrane Database of Systematic Reviews, 2005: N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 15846673 CINAHL AN: 200982442","Van de Laar FA(1), Lucassen PL, Akkermans RP, Van de Lisdonk EH, Rutten GE, Van Weel C.",
7,8,30977,Antibiotics for prolonged moist cough in children.,Antibiotics for prolonged moist cough in children.,"Marchant JM; Morris PS; Gaffney J; Chang AB; Cochrane Database of Systematic Reviews, 2005: N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 16235384 CINAHL AN: 200982463","Marchant JM(1), Morris P, Gaffney JT, Chang AB.",
8,10,31739,Botulinum toxin type B for cervical dystonia.,Botulinum toxin type B for cervical dystonia.,"Costa J; EspÃ_rito-Santo CC; Borges AA; Ferreira J; Coelho MM; Moore P; Sampaio C; Cochrane Database of Systematic Reviews, 2005: N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 15674941 CINAHL AN: 200982436","Costa J(1), EspÃ_rito-Santo C, Borges A, Ferreira JJ, Coelho M, Moore P, Sampaio C.",
9,11,30994,Chloroquine or amodiaquine combined with sulfadoxine-pyrimethamine for treating uncomplicated malaria.,Chloroquine or amodiaquine combined with sulfadoxine-pyrimethamine for treating uncomplicated malaria.,"McIntosh H; Jones KL; Cochrane Database of Systematic Reviews, 2005: N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 16235276 CINAHL AN: 200982247","McIntosh HM(1), Jones KL.",
10,12,31242,Colony stimulating factors for prevention of myelosupressive therapy induced febrile neutropenia in children with acute lymphoblastic leukaemia.,Colony stimulating factors for prevention of myelosupressive therapy induced febrile neutropenia in children with acute lymphoblastic leukaemia.,"Sasse EC; Sasse AD; Brandalise SR; Clark OAC; Richards S; Cochrane Database of Systematic Reviews, 2005: N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 16034921 CINAHL AN: 200982452","Sasse EC(1), Sasse AD, Brandalise S, Clark OA, Richards S.",
